location,title,rooms,m2,build_material,year,page,kinder_garden,metro_station,price_eur
Kr_stova Vada,"Dvustaen apartament s gledka k_m Vitosa v novostroasa se sgrada v kv. Kr_stova vada
Kr_stova Vada, Sofia",2,70.7,Tuhla,2024.0,25,1,1,145000
v.z.Simeonovo - Dragalevzi,"Dvustaen apartament s gledka k_m planinata v kv. Simeonovo
v.z.Simeonovo - Dragalevzi, Sofia",2,91,Tuhla,2011.0,25,1,1,180000
Manastirski Livadi,"Tristaen apartament v Manastirski livadi
Manastirski Livadi, Sofia",3,119,Tuhla,2022.0,26,0,0,262000
Razsadnika,"Dvustaen apartament
Razsadnika, Sofia",2,43,EPK/PK,1985.0,26,1,0,87900
Malinova Dolina,"S akt 16 - Iztok/zapad
Malinova Dolina, Sofia",3,121,Tuhla,1994.0,26,1,0,183000
Lulin 10,"Ednostaen apartament v Lulin za prodajba
Lulin 10, Sofia",0,53,Panel,1993.0,26,1,0,83000
Levski,"Ednostaen apartament v Levski za prodajba
Levski, Sofia",0,54,Panel,1994.0,26,1,0,84000
Ovca Kupel,"Ednostaen apartament v Ovca Kupel za prodajba
Ovca Kupel, Sofia",0,54,Panel,1994.0,26,1,0,84000
Manastirski Livadi,"Ednostaen apartament v Manastirki Livadi za prodajba
Manastirski Livadi, Sofia",0,50,Panel,1995.0,26,1,0,85000
Zent_r,"AKT 16!! Idealen Zent_r!! Apartament / Ofis v butikova sgrada na metri ot S_debnata Palata i Vitoska
Zent_r, Sofia",0,75,Tuhla,2022.0,26,1,0,260960
Zent_r,"Mnogostaen apartament 115 kv.m Tuhla 1951 g. 4 etaj Neposleden
Zent_r, Sofia",4,115,Tuhla,1951.0,26,1,0,310000
Mladost 3,"Tristaen apartament - kv. Mladost 3, gr. Sofia
 Mladost 3, Sofia",3,116,Tuhla,2020.0,26,1,0,250000
Lozenez,"Mezonet- kv. Lozenez, gr. Sofia
 Lozenez, Sofia",10,143,Tuhla,2007.0,26,1,0,390000
Zent_r,"Hubav Apartament v zent_ra-Top lokazia!
Zent_r, Sofia",2,68,Tuhla,1950.0,26,1,0,160000
Nadejda 4,"Tristaen v j.k. Nadejda 4
Nadejda 4, Sofia",3,125,Tuhla,2024.0,26,1,0,181250
Ovca Kupel,"Obzaveden tristaen apartament v Ovca kupel
Ovca Kupel, Sofia",3,120,EPK/PK,1990.0,26,1,0,179000
Lulin 9,"2-staen Lulin 9
Lulin 9, Sofia",2,61,Panel,1978.0,26,1,1,96000
Drujba 2,"Tristaen apartament v j.k. ”Drujba 2”
Drujba 2, Sofia",3,111,Tuhla,2023.0,26,1,1,222000
Malinova Dolina,"Mezonet Top zena Malinova Dolina
Malinova Dolina, Sofia",10,126,Tuhla,2023.0,26,1,1,95000
Svoboda,"Tristaen apartament v Svoboda
Svoboda, Sofia",3,97,Tuhla,2010.0,26,1,1,185000
Ovca Kupel,"Prodava 3-STAEN grad Sofia, Ovca kupel
Ovca Kupel, Sofia",3,112,Tuhla,2025.0,26,1,1,195630
Simeonovo,"Prostoren cetiristaen Apartament s plos 223,26 kv.m. s Akt 15, v zatvoren kompleks kv. Simeonovo
Simeonovo, Sofia",4,223,Tuhla,2023.0,26,1,1,446500
Ovca Kupel 2,"Golam tristaen Ovca kupel 2
Ovca Kupel 2, Sofia",3,120,EPK/PK,1992.0,26,1,1,179000
Suhata reka,"Ednostaen apartament v j.k. Suhata reka
Suhata reka, Sofia",0,43,Tuhla,1980.0,26,1,1,94000
Simeonovo,"dvustaen Apartament s plos 82,10 kv.m. s Akt 15, v zatvoren kompleks, kv. Simeonovo
Simeonovo, Sofia",2,82,Tuhla,2023.0,26,1,1,164200
Lulin 10,"Lulin 10, 61m2 prodava na top zena!
Lulin 10, Sofia",2,61,Panel,1983.0,26,1,1,83500
Manastirski Livadi,"Tristaen apartament s dvor v Manastirski livadi - Iztok do Elizium
Manastirski Livadi, Sofia",3,130,Tuhla,2023.0,26,1,1,173000
Manastirski Livadi,"2-staen v Manastirski livadi. Direkten dogovor s investitora!
Manastirski Livadi, Sofia",2,84,Tuhla,2023.0,26,1,1,134000
Lulin 4,"Tristaen apartament 85 kv.m Panel 1979 g. 1 etaj P_rvi jilisen
Lulin 4, Sofia",3,85,Panel,1979.0,26,1,1,127900
Mladost 3,"Tristaen apartament v j.k. Mladodt 3
Mladost 3, Sofia",3,112,Tuhla,2020.0,26,1,1,349000
Manastirski Livadi,"AKT 16!! Dvustaen apartament v Manastirski Livadi - Zapad blizo do ”Beso” i Pazar Borovo
Manastirski Livadi, Sofia",2,73,Tuhla,2021.0,27,0,0,149000
Kr_stova Vada,"Bez komisiona! Tristaen apartament Kr_stova vada
Kr_stova Vada, Sofia",3,101,Tuhla,2023.0,27,0,0,141400
Moderno Predgradie,"Tristaen apartament Moderno predgradie
Moderno Predgradie, Sofia",3,120,Tuhla,2020.0,27,0,0,154500
Manastirski Livadi,"PRED AKT 16! Ednostaen apartament Manastirski livadi
Manastirski Livadi, Sofia",0,65,Tuhla,2019.0,27,0,0,72100
Belite Brezi,"Ednostaen obzaveden apartament Belite brezi
Belite Brezi, Sofia",0,55,Tuhla,2001.0,27,0,0,120000
Studentski Grad,"Prodava 4-staen, kv. Studentski grad
Studentski Grad, Sofia",4,145,Tuhla,2020.0,27,0,0,279890
Drujba 1,"Tristaen apartament v Drujba 1
Drujba 1, Sofia",3,84,EPK/PK,1986.0,27,0,1,142000
Vitosa,"Ednostaen apartament s gradina v kv. Kr_stova vada
Vitosa, Sofia",0,38,Tuhla,2022.0,27,0,1,66000
Lulin 5,"Ednostaen apartament 46 kv.m Panel 1976 g. 4 etaj Neposleden
Lulin 5, Sofia",0,46,Panel,1976.0,27,0,1,88900
Manastirski Livadi,"Dvustaen apartament v Manastirski livadi. Top lokazia, gledka i terasa!
Manastirski Livadi, Sofia",2,94,Tuhla,2023.0,27,0,1,149600
Hadji Dimit_r,"Dvustaen apartament 64 kv.m Panel 1985 g. 4 etaj
Hadji Dimit_r, Sofia",2,64,Panel,1985.0,27,0,1,120000
Kr_stova Vada,"Tristaen apartament v nova jilisna sgrada v kv. ”Kr_stova vada”
 Kr_stova Vada, Sofia",3,130,Tuhla,2023.0,27,0,1,280000
Kr_stova Vada,"Tristaen apartament v nova jilisna sgrada do mol Paradise Center
 Kr_stova Vada, Sofia",3,113,Tuhla,2023.0,27,0,1,240000
Zent_r,"Tristaen apartament v nova sgrada do L_vov most
 Zent_r, Sofia",3,110.77,Tuhla,2023.0,27,0,1,210463
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,82,Tuhla,2026.0,27,0,1,116116
Krasna Polana,"Prodava cetiristaen apartament s dva balkona v kv. ”Krasna polana”
Krasna Polana, Sofia",4,145,Tuhla,2026.0,27,0,1,204232
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,121,Tuhla,2026.0,27,0,1,170772
Lozenez,"Tristaen apartament v novostroasa sgrada v kv. Lozenez
Lozenez, Sofia",3,112,Tuhla,2027.0,27,0,1,298851
Banisora,"Tristaen apartament Banisora
Banisora, Sofia",3,89,EPK/PK,1982.0,27,0,1,177000
Lozenez,"Prodava dvustaen v kv. Lozenez
Lozenez, Sofia",2,74,Tuhla,1997.0,28,0,0,240000
Nadejda 1,"Prodava 2-staen, kv. Nadejda 1
Nadejda 1, Sofia",2,67,Tuhla,2023.0,28,0,1,113500
Slavia,"Prodava 3-staen, kv. Slavia
Slavia, Sofia",3,90,Tuhla,1972.0,28,0,1,269000
Vitosa,"Tristaen v kv. Vitosa
Vitosa, Sofia",3,91,Tuhla,2009.0,28,1,1,195000
Hladilnika,"Tristaen apartament 117 kv.m Tuhla 2023 g. 3 etaj Neposleden
Hladilnika, Sofia",3,117,Tuhla,2023.0,28,1,1,228000
Nadejda 2,"Tristaen v j.k. Nadejda 2
Nadejda 2, Sofia",3,91,Tuhla,2024.0,28,1,1,150470
Hadji Dimit_r,"Dvustaen ap. za prodajba v jk. Hadji Dimit_r
Hadji Dimit_r, Sofia",2,60,Panel,1960.0,28,1,1,88000
Zent_r,"Tristaen apartament, Zent_r
Zent_r, Sofia",3,91,Tuhla,1961.0,28,1,1,300000
Banisora,"Dvustaen apartament, Banisora
Banisora, Sofia",2,65,Panel,1986.0,28,1,1,85000
Lulin 1,"Ednostaen apartament 30 kv.m Panel 1986 g. 5 etaj Neposleden
Lulin 1, Sofia",0,30,Panel,1986.0,28,1,1,49900
Hladilnika,"Dvustaen apartament 77 kv.m Tuhla 2024 g. 1 etaj P_rvi jilisen
Hladilnika, Sofia",2,77,Tuhla,2024.0,28,1,1,151000
Mladost 4,"Tristaen apartament, Mladost 4
Mladost 4, Sofia",3,88,Panel,1982.0,28,1,1,210000
Ovca Kupel,"Tristaen apartament Do NBU Ovca Kupel
Ovca Kupel, Sofia",3,114,Tuhla,2024.0,28,1,1,176762
Mladost 4,"akt 16 Dvustaen apartament Mladost 4
Mladost 4, Sofia",2,58,Tuhla,2023.0,28,1,1,114999
Zent_r,"Dizajnerski obzaveden dvustaen apartament v sirok zent_r. V prodajba ot Portfolio BP
Zent_r, Sofia",2,75,Tuhla,2022.0,28,1,1,174800
Kr_stova Vada,"Dvustaen apartament s gledka k_m Vitosa v novostroasa se sgrada v kv. Kr_stova vada
 Kr_stova Vada, Sofia",2,71,Tuhla,2024.0,28,1,1,145000
Hladilnika,"Tristaen apartament v novostroasa se sgrada, nahodasa se v kv. Hladilnika.
 Hladilnika, Sofia",3,116,Tuhla,2024.0,28,1,1,226000
Suhata reka,"Cetiristaen apartament, j.k. Suhata Reka
Suhata reka, Sofia",4,110,Tuhla,1980.0,28,1,1,165000
Hladilnika,"Mnogostaen apartament v novostroasa se sgrada, nahodasa se v kv. Hladilnika.
 Hladilnika, Sofia",4,204,Tuhla,2024.0,28,1,1,419000
Mladost 4,"ednostaen apartament mladost 4
 Mladost 4, Sofia",0,42,Tuhla,2023.0,29,0,0,85000
Mladost 1,"3-staen apartament kv. Mladost 1
Mladost 1, Sofia",3,85,EPK/PK,1982.0,29,0,0,175000
Hladilnika,"Tristaen apartament v novostroasa se sgrada, nahodasa se v kv. Hladilnika.
 Hladilnika, Sofia",3,127,Tuhla,2024.0,29,0,0,255000
Geo Milev,"Prodava 4-STAEN grad Sofia, Slatina, ul. Geo Milev
Geo Milev, Sofia",4,385,Tuhla,2016.0,29,0,0,449000
Lulin 10,"Prodava tristaen apartament
 Lulin 10, Sofia",3,84,Panel,1981.0,29,0,1,140000
Banisora,"Nedvijim imot
Banisora, Sofia",3,90,Tuhla,1986.0,29,0,1,169000
Mladost 1,"Prodava 1-STAEN grad Sofia, Mladost 1
Mladost 1, Sofia",0,43,EPK/PK,1980.0,29,0,1,100000
Drujba 2,"4-staen apartament kv. Drujba 2
Drujba 2, Sofia",4,110,EPK/PK,1998.0,29,0,1,238800
Ovca Kupel 1,"Dvustaen apartament 64 kv.m Tuhla 2022 g. 3 etaj Neposleden
Ovca Kupel 1, Sofia",2,64,Tuhla,2022.0,29,0,1,95000
Strelbise,"Cetiri otdelni stai! Do UJEN PARK!
Strelbise, Sofia",3,98,Tuhla,1976.0,29,0,1,254900
Zent_r,"Dvustaen apartament 89 kv.m Tuhla 1969 g. 2 etaj Neposleden
Zent_r, Sofia",2,89,Tuhla,1969.0,29,0,1,175000
Lozenez,"Apartament s tri spalni v elitna nova sgrada v kv. Lozenez
Lozenez, Sofia",4,156,Tuhla,2023.0,29,0,1,346600
Lulin 7,"Ednostaen v Lulin 7
Lulin 7, Sofia",0,47,Panel,1980.0,29,0,1,63500
Nadejda 1,"Nov kompakten dvustaen s komunikativna lokazia
Nadejda 1, Sofia",2,51,Tuhla,2024.0,29,0,1,87074
Zona B5,"Dvustaen apartament sled remont do Mol Sofia
Zona B5, Sofia",2,68,Tuhla,1943.0,29,0,1,133000
Kr_stova Vada,"Dvustaen obzaveden apartament Kr_stova vada s dvor + garaj
Kr_stova Vada, Sofia",2,101,Tuhla,2022.0,29,0,1,320000
Manastirski Livadi,"Bez komisona! Ednostaen apartament Manastirski livadi
Manastirski Livadi, Sofia",0,46,Tuhla,2023.0,29,0,1,82800
Studentski Grad,"AKT 16! Dvustaen apartament Studentski grad
Studentski Grad, Sofia",2,54,Tuhla,2021.0,29,0,1,94800
Ovca Kupel,"prodajba dvustaen
Ovca Kupel, Sofia",2,78,Tuhla,2013.0,29,0,1,145000
Simeonovo,"AKT 16! Tristaen apartament Simeonovo
Simeonovo, Sofia",3,124,Tuhla,2022.0,29,0,1,300000
Geo Milev,"Cetiristaen apartament Geo Milev
Geo Milev, Sofia",4,126,Tuhla,2022.0,29,0,1,287000
B_kston,"Bez komisiona! Dvustaen apartament B_kston
B_kston, Sofia",2,75,Tuhla,2023.0,29,0,1,133995
Levski G,"Dvustaen apartament Levski G
Levski G, Sofia",2,55,Tuhla,2022.0,29,0,1,164800
Manastirski Livadi,"Dvustaen apartament, Manastirski livadi
Manastirski Livadi, Sofia",2,61,Tuhla,2008.0,29,0,1,169900
Zent_r,"Tristaen apartament, Zent_r
Zent_r, Sofia",3,70,Tuhla,1940.0,29,0,1,205000
Lulin 6,"Dvustaen apartament 69 kv.m Panel 1980 g. 3 etaj
Lulin 6, Sofia",2,69,Panel,1980.0,29,0,1,140000
Oborise,"320 400E-kv. Oborise, panoramen mnogostaen penthaus v stroej, metro, Zaimov park
Oborise, Sofia",4,160,Tuhla,2023.0,29,0,1,320400
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,102,Tuhla,2026.0,29,0,1,143402
Krasna Polana,"Prodava dvustajno atelie v novostroasa se sgrada v kv. Krasna polana
Krasna Polana, Sofia",2,55,Tuhla,2026.0,29,0,1,77098
Krasna Polana,"Prodava Dvustaen apartament v novostroasa se sgrada v kv. Krasna polana
Krasna Polana, Sofia",2,62,Tuhla,2026.0,30,0,0,87024
Ovca Kupel 2,"Bez komision ot kupuvaca Tristaen v sgrada Saut Prodjekt - Ovca kupel 2
Ovca Kupel 2, Sofia",3,108,Tuhla,2024.0,30,0,0,153610
Dragalevzi,"Dvustaen apartament za prodajba v j.k. Dragalevzi
 Dragalevzi, Sofia",2,49,Tuhla,2013.0,30,0,0,75000
Oborise,"Tristaen apartament v zent_ra na Sofia na minuti ot j_ltite paveta
Oborise, Sofia",3,105,Tuhla,2023.0,30,0,0,182700
D_rveniza,"Tristaen apartament D_rveniza
D_rveniza, Sofia",3,105,Tuhla,2023.0,30,0,0,169000
Zona B18,"Dvustaen apartament za prodajba v sgrada s Akt 16 v kv. Zent_r, ul. Ovce pole
 Zona B18, Sofia",2,88,Tuhla,2022.0,30,0,0,109900
Kr_stova Vada,"Tristaen apartament v luksozna sgrada v kv. Kr_stova vada
Kr_stova Vada, Sofia",3,109,Tuhla,2025.0,30,0,0,185283
Kr_stova Vada,"Dvustaen apartament s ujno izlojenie v kv. Kr_stova vada
Kr_stova Vada, Sofia",2,73,Tuhla,2025.0,30,0,0,127488
Medizinska akademia,"Prodavam dvustaen Medizinska akademia
Medizinska akademia, Sofia",2,72,Tuhla,1960.0,30,0,1,242900
Zent_r,"Tristaen apartament v Zent_ra
Zent_r, Sofia",3,124,Tuhla,2024.0,30,0,1,215000
Krasna Polana,"Tristaen apartament, Krasna polana
Krasna Polana, Sofia",3,61,Panel,1979.0,30,1,1,185000
Mladost 4,"3-staen Mladost 4
Mladost 4, Sofia",3,107,Tuhla,2019.0,30,1,1,275000
Hadji Dimit_r,"Dvustaen apartament, Hadji Dimit_r
Hadji Dimit_r, Sofia",2,60,Panel,1966.0,30,1,1,88000
Nadejda 2,"Dvustaen apartament 64 kv.m EPK/PK 1983 g. 8 etaj Neposleden
Nadejda 2, Sofia",2,64,EPK/PK,1983.0,30,1,1,102000
Geo Milev,"Dvustaen apartament 60 kv.m Tuhla 1968 g. 4 etaj Posleden etaj
Geo Milev, Sofia",2,60,Tuhla,1968.0,30,1,1,136000
Ilinden,"Dvustaen apartament 72 kv.m Tuhla 1973 g. 3 etaj Neposleden
Ilinden, Sofia",2,72,Tuhla,1973.0,30,1,1,112000
Obela 2,"Tristaen apartament 93 kv.m Tuhla 2019 g. 5 etaj Neposleden
Obela 2, Sofia",3,93,Tuhla,2019.0,30,1,1,133000
Ovca Kupel 1,"Dvustaen apartament 68 kv.m Tuhla 2010 g. 4 etaj Neposleden
Ovca Kupel 1, Sofia",2,68,Tuhla,2010.0,30,1,1,124000
Sveta Troiza,"Tristaen apartament 87 kv.m Tuhla 1988 g. 6 etaj Neposleden
Sveta Troiza, Sofia",3,87,Tuhla,1988.0,30,1,1,157500
Sveta Troiza,"Dvustaen apartament 74 kv.m Panel 1986 g. 1 etaj P_rvi jilisen
Sveta Troiza, Sofia",2,74,Panel,1986.0,30,1,1,119999
Lozenez,"Mezonet v j.k. Lozenez
Lozenez, Sofia",10,198,Tuhla,1997.0,30,1,1,425000
Reduta,"Mezonet v kv. Reduta
Reduta, Sofia",10,194,Tuhla,2023.0,30,1,1,315000
Reduta,"Tristaen mezonet, v kv. Reduta
Reduta, Sofia",3,194,Tuhla,2023.0,30,1,1,315000
Reduta,"Tristaen apartament v kv. Reduta
Reduta, Sofia",3,130,Tuhla,2023.0,30,1,1,235000
Reduta,"Parteren, dvustaen apartament, v kv. Reduta
Reduta, Sofia",2,68,Tuhla,2024.0,30,1,1,112454
Drujba 2,"Tristaen apartament, Drujba 2
Drujba 2, Sofia",3,110,EPK/PK,1998.0,30,1,1,238800
Malinova Dolina,"Dvustaen apartament za prodajba ot investitor v Okinawa-Boutique Residence
 Malinova Dolina, Sofia",2,76,Tuhla,2025.0,31,0,0,112277
Malinova Dolina,"Dvustaen apartament v Okinawa-Boutique Residence, ot investitor!
 Malinova Dolina, Sofia",2,91,Tuhla,2025.0,31,0,0,119616
Malinova Dolina,"Ot investitor! Prodajba na studio v Okinawa-Boutique Residence
 Malinova Dolina, Sofia",0,56,Tuhla,2025.0,31,0,0,84045
Malinova Dolina,"Ot investitor! Studio v Okinawa-Boutique Residence
 Malinova Dolina, Sofia",0,56,Tuhla,2025.0,31,0,0,81681
Krasno Selo,"Tristaen apartament, Krasno selo
Krasno Selo, Sofia",3,110,Tuhla,2025.0,31,0,1,159900
Vitosa,"tristaen apartament s gledka k_m v_tresen dvor
Vitosa, Sofia",3,97,Tuhla,2023.0,31,0,1,154000
Zent_r,"Prostoren, ujen mezonet s terasa i asans_or, 125 kv.m. ul Dospat
Zent_r, Sofia",10,125,Tuhla,1996.0,31,0,1,240000
Zent_r,"Unikalen cetiristaen apartament v Milenium zent_r na bul. Vitosa
Zent_r, Sofia",4,240,Tuhla,2020.0,31,0,1,1104000
Serdika,"Neprehoden, obzaveden, sled remont, j.k. Serdika
Serdika, Sofia",2,65,Panel,1985.0,31,0,1,108000
Botunez,"Dvustaen apartament 74 kv.m Panel 1979 g. 7 etaj Posleden etaj
Botunez, Sofia",2,74,Panel,1979.0,31,0,1,96500
Zaharna Fabrika,"Zaharna Fabrika dvustaen neobzaveden
Zaharna Fabrika, Sofia",2,54,Tuhla,1957.0,31,0,1,93900
Goze Delcev,"Perfekten! Apartament s dve spalni v rajon na Ujen park! V prodajba ot PORTFOLIO BP
Goze Delcev, Sofia",3,75,EPK/PK,1983.0,31,0,1,170000
Tolstoj,"Prodavam dvustaen apartament
 Tolstoj, Sofia",2,64,Panel,1969.0,31,0,1,149000
Vitosa,"Prodava se dvustaen apartament do Maksi
Vitosa, Sofia",2,84,Tuhla,2023.0,31,0,1,121980
Vitosa,"Prodava tristaen apartament do Maksi
Vitosa, Sofia",3,130,Tuhla,2023.0,31,0,1,187411
Lozenez,"Tristaen obzaveden apartament NA METRI ot Paradajs Mol!! Parkomasto V ZENATA!!
Lozenez, Sofia",3,100,Tuhla,2001.0,31,0,1,362000
Mladost 4,"Tristaen apartament, j.k. ”Mladost 4”
Mladost 4, Sofia",3,107,Tuhla,2019.0,31,0,1,275000
Zent_r,"Mnogostaen apartament 120 kv.m Tuhla 1940 g. 4 etaj Neposleden
Zent_r, Sofia",4,120,Tuhla,1940.0,31,0,1,445000
Boana,"3STAEN kv. Boana, m. G_rdova glava
Boana, Sofia",3,114,Tuhla,2025.0,31,0,1,174925
Lulin 5,"Ednostaen apartament 47 kv.m Panel 1980 g. 1 etaj P_rvi jilisen
Lulin 5, Sofia",0,47,Panel,1980.0,31,0,1,72100
Mladost 1a,"Dvustaen apartament 70 kv.m Panel 1987 g. 2 etaj Neposleden
Mladost 1a, Sofia",2,70,Panel,1987.0,31,0,1,185000
Studentski Grad,"Ednostaen, obzaveden v kv. Studentski grad
Studentski Grad, Sofia",0,41,Tuhla,2019.0,31,0,1,79000
Lozenez,"Dvustaen mezonet v novostroasa sgrada v kv. Lozenez predpocitana lokazia do metroto
Lozenez, Sofia",10,153,Tuhla,2027.0,31,0,1,253550
Goze Delcev,"Prodajba 3-staen gr. Sofia - Goze Delcev 74m²
Goze Delcev, Sofia",3,74,EPK/PK,1983.0,31,0,1,170000
Fondovi Jilisa,"Dvustaen apartament 68 kv.m EPK/PK 1980 g. 13 etaj Neposleden
Fondovi Jilisa, Sofia",2,68,EPK/PK,1980.0,31,0,1,130000
Sveta Troiza,"Sl_ncevo i prostorno jilise s prekrasna lokazia!
Sveta Troiza, Sofia",3,86,Tuhla,2002.0,31,0,1,175000
Hadji Dimit_r,"Prodava 2-STAEN
Hadji Dimit_r, Sofia",2,60,Panel,1966.0,31,0,1,88000
Lulin 2,"Tristaen apartament v Lulin 2
Lulin 2, Sofia",3,96,Panel,1983.0,31,0,1,149900
Manastirski Livadi,"Prostoren i funkzionalno razpredelen tristaen apartament v nova sgrada v kv. Manastirski livadi - Iz..
Manastirski Livadi, Sofia",3,143,Tuhla,2023.0,32,0,0,280600
Mladost 3,"Tristaen apartament Sofia Mladost 3
Mladost 3, Sofia",3,115,EPK/PK,1997.0,32,0,0,199000
Manastirski Livadi,"Prostoren cetiristajni apartament v Emerald Apartments pred Akt 16 v Manastirski livadi - Iztok
Manastirski Livadi, Sofia",4,188,Tuhla,2023.0,32,0,0,368000
Manastirski Livadi,"Svet_l tristaen apartament s izgled k_m Vitosa planina v Manastirski livadi - Iztok
Manastirski Livadi, Sofia",3,120,Tuhla,2023.0,32,0,0,235000
Manastirski Livadi,"Izzalo ujen tristaen apartament za prodajba v Manastirski livadi
Manastirski Livadi, Sofia",3,122,Tuhla,2023.0,32,0,0,239500
Manastirski Livadi,"Prostoren i eleganten tristaen apartament s izumitelna gledka k_m Vitosa planina v Manastirski Livad..
Manastirski Livadi, Sofia",3,190,Tuhla,2023.0,32,0,0,372000
Malinova Dolina,"Cetiristaen/mnogostaen apartament v Malinova dolina * BEZ KOMISION!
Malinova Dolina, Sofia",4,197,Tuhla,2023.0,32,0,0,310000
Malinova Dolina,"Golam Tristaen apartament na naj-hubavoto masto v Malinova dolina s Akt 14
Malinova Dolina, Sofia",3,107,Tuhla,2024.0,32,0,0,165000
Lulin 4,"Lulin 4 tristaen neprehoden
Lulin 4, Sofia",3,85,Panel,1985.0,32,0,0,127900
Lulin 1,"Tristaen apartament 113 kv.m EPK/PK 1982 g. 13 etaj Neposleden
Lulin 1, Sofia",3,113,EPK/PK,1982.0,32,0,0,120000
v.z.Malinova dolina,"Tristaen apartament v. z. Malinova dolina
v.z.Malinova dolina, Sofia",3,104,Tuhla,2008.0,32,0,0,265000
Studentski Grad,"Obzaveden! Top lokazia v zent_ra na St. grad! S naematel!
Studentski Grad, Sofia",2,51,Tuhla,2023.0,32,0,0,79900
Studentski Grad,"Akt 16! Prodava se neprehoden nap_lno obzaveden dvustaen apartament s terasa
Studentski Grad, Sofia",2,67,Tuhla,2017.0,32,0,0,121000
Vitosa,"Akt 16 tristaen neprehoden apartament do kompleks maksi i kaufland
Vitosa, Sofia",3,87,Tuhla,2019.0,32,0,0,142000
Lulin 4,"3-staen apartament kv. Lulin 4
Lulin 4, Sofia",3,85,Tuhla,1979.0,32,1,0,127900
Medizinska akademia,"Cetiristaen apartament v kv. ”Manastirski livadi”
Medizinska akademia, Sofia",4,194,Tuhla,2021.0,32,1,0,310000
Ilinden,"Tristaen apartament- kv. Ilinden, gr. Sofia
 Ilinden, Sofia",3,86,Panel,1982.0,32,1,0,188700
Ovca Kupel,"Tristaen - Ovca kupel, gr. Sofia
Ovca Kupel, Sofia",3,99,Tuhla,2023.0,32,1,0,148500
Zaharna Fabrika,"Dvustaen apartament- kv. Zaharna Fabrika, gr. Sofia
 Zaharna Fabrika, Sofia",2,45,Tuhla,1968.0,32,1,0,81000
Krasna Polana,"Dvustaen apartament- kv. Krasna polana, gr. Sofia
 Krasna Polana, Sofia",2,60,Panel,1988.0,32,1,0,109000
Malinova Dolina,"Dvustaen apartament- kv. Malinova Dolina, gr. Sofia
 Malinova Dolina, Sofia",2,55,Tuhla,2023.0,32,1,0,109000
Svoboda,"Dvustaen apartament- kv. Svoboda, gr. Sofia
 Svoboda, Sofia",2,65,Panel,1985.0,32,1,0,125000
Banisora,"prodavam 2-staen, tuhlen apartament v Banisora
Banisora, Sofia",2,65,Tuhla,1965.0,32,1,0,129000
Mladost 3,"Tristaen apartament- kv. Mladost 3, gr. Sofia
 Mladost 3, Sofia",3,88,Panel,1979.0,32,1,0,160000
Levski G,"Dvustaen apartament- kv. Levski G, gr. Sofia
 Levski G, Sofia",2,74,Tuhla,2010.0,32,1,0,160000
Lulin 4,"Tristaen apartament 85 kv.m Panel 1988 g. 1 etaj
Lulin 4, Sofia",3,85,Panel,1988.0,32,1,0,127900
Sveta Troiza,"Tristaen apartament
Sveta Troiza, Sofia",3,75,Panel,1973.0,32,1,0,179000
Zona B5,"Tristaen apartament 125 kv.m Tuhla 2000 g. 3 etaj
Zona B5, Sofia",3,125,Tuhla,2000.0,32,1,0,189000
Zona B19,"Dvustaen apartament 50 kv.m Tuhla 2000 g.
Zona B19, Sofia",2,50,Tuhla,2000.0,33,0,0,97000
Zent_r,"Tristaen apartament 110 kv.m Tuhla 1956 g. 2 etaj
Zent_r, Sofia",3,110,Tuhla,1956.0,33,0,0,120000
Ovca Kupel,"Predlagam za prodajba ednostaen apartament v kv. Ovca kupel
Ovca Kupel, Sofia",0,49,Tuhla,2010.0,33,0,0,90650
Vitosa,"Tristaen apartament 91 kv.m Tuhla 2009 g. 2 etaj
Vitosa, Sofia",3,91,Tuhla,2009.0,33,0,0,195000
Vitosa,"Studio s parkomasto v sgrada novo stroitelstvo v kv. ”Vitosa”
 Vitosa, Sofia",0,40,Tuhla,2023.0,33,0,0,100000
Malinova Dolina,"Tristaen apartament №36 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",3,115.87,Tuhla,2023.0,33,0,0,168977
Malinova Dolina,"Dvustaen apartament №66 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",2,76.94,Tuhla,2023.0,33,0,0,118616
Malinova Dolina,"Dvustaen apartament №6 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",2,76.97,Tuhla,2023.0,33,0,0,112248
Malinova Dolina,"Tristaen apartament №26 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",3,101.46,Tuhla,2023.0,33,0,0,156418
Malinova Dolina,"Komfortno studio №10 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",0,55.81,Tuhla,2023.0,33,0,0,79064
Malinova Dolina,"Prostoren tristaen apartament №2 v OKINAWA Boutique Residence
 Malinova Dolina, Sofia",3,100.29,Tuhla,2023.0,33,0,0,146257
Boana,"Tristaen ap. za prodajba v kv. Boana
Boana, Sofia",3,91,Tuhla,2024.0,33,0,0,136500
